p,RSN
0.005,3.3174483005106192
0.01,2.705947215527182
0.015,2.3546461234425617
0.02,2.10894229396071
0.025,1.9207294103470727
0.03,1.768692298231309
0.035,1.641510143379767
0.04,1.5324508600381797
0.045,1.4371866979980017
0.05,1.3527717270477069
0.055,1.2771106562481778
0.06,1.2086604652278108
0.065,1.1462522630461387
0.07,1.0889795794270667
0.075,1.0361254279111172
0.08,0.9871130447954726
0.085,0.9414716467153056
0.09,0.8988120301828268
0.095,0.8588088046257005
0.1,0.821187207574908
0.105,0.7857131542638072
0.11,0.7521856146202704
0.115,0.720430694026574
0.12,0.6902969807648809
0.125,0.6616518484657331
0.13,0.6343784877886518
0.135,0.6083735014447953
0.14,0.5835449390694308
0.145,0.5598106789059246
0.15,0.5370970854287926
0.155,0.515337888364658
0.16,0.4944732407390115
0.165,0.4744489227397596
0.17,0.4552156651557704
0.175,0.43672857149461536
0.18,0.4189466220207416
0.185,0.4018322461824562
0.19,0.38535095243233686
0.195,0.36947100645310565
0.2,0.354163150400397
0.205,0.33940035705622384
0.21,0.3251576138212268
0.215,0.3114117323127082
0.22,0.298141180019526
0.225,0.28532593102559434
0.23,0.27294733327545895
0.235,0.2609879902374361
0.24,0.2494316551372379
0.245,0.2382631361999043
0.25,0.22746821155978642
0.255,0.21703355268497168
0.26,0.20694665532008827
0.265,0.19719577708488054
0.27,0.1877698809793725
0.275,0.17865858414315977
0.28,0.16985211129909158
0.285,0.16134125238258176
0.29,0.15311732391885544
0.295,0.1451721337631195
0.3,0.1374979488642281
0.305,0.1300874657519465
0.31,0.12293378348229508
0.315,0.11603037880541467
0.32,0.1093710833465766
0.325,0.1029500626138829
0.33,0.09676179666632298
0.335,0.09080106229354504
0.34,0.0850629165742985
0.345,0.07954268169427638
0.35,0.07423593091627274
0.355,0.06913847560638033
0.36,0.06424635322955102
0.365,0.059555816236388004
0.37,0.055063321770656884
0.375,0.05076552213381077
0.38,0.046659255948914444
0.385,0.04274153997181724
0.39,0.03900956150232904
0.395,0.03546067135257055
0.4,0.03209237733365077
0.405,0.028902338225421004
0.41,0.02588835819731063
0.415,0.023048381651203854
0.42,0.02038048846000048
0.425,0.017882889577948834
0.43,0.01555392300107321
0.435,0.013392050058061647
0.44,0.011395852013856183
0.445,0.009564026969915708
0.45,0.00789538704671561
0.455,0.006388855835526497
0.46,0.005043466107888011
0.465,0.0038583577724759853
0.47,0.0028327760702637037
0.475,0.001966070000009765
0.48,0.0012576909671770033
0.485,0.0007071916504058877
0.49,0.00031422508064183583
0.495,7.854392895485115e-5
0.5,0.0
